fighter_name,Height,Weight,Reach,Stance,DOB,year
Alexander Otsuka,185.42,92.98636,,Orthodox,"Jul 17, 1971",1971.0
Alexander Poppeck,187.96,92.98636,,,"Apr 06, 1992",1992.0
Alexander Romanov,182.88,120.20188,,,"Dec 11, 1990",1990.0
Alexander Sarnavskiy,180.34,70.30676,,,"Jan 17, 1989",1989.0
Alexander Shlemenko,180.34,83.91452,,,"May 20, 1984",1984.0
Alexander Trevino,,77.11064,,,,
Alexander Volkanovski,167.64000000000001,65.77083999999999,180.34,Orthodox,"Sep 29, 1988",1988.0
Alexander Volkov,200.66,113.398,203.2,Orthodox,"Oct 24, 1988",1988.0
Alexander Yakovlev,190.5,70.30676,187.96,Southpaw,"Jul 18, 1984",1984.0
Alexandra Albu,157.48000000000002,52.16308,160.02,Orthodox,"Jul 14, 1990",1990.0
Alexandre Barros,175.26,77.11064,,Southpaw,"Nov 19, 1976",1976.0
Alexandre Dantas,187.96,107.954896,,Orthodox,"Mar 01, 1979",1979.0
Alexandre Ferreira,170.18,92.98636,,Orthodox,"Apr 25, 1979",1979.0
Alexandre Franca Nogueira,170.18,65.77083999999999,,Orthodox,"Jan 15, 1978",1978.0
Alexandre Pantoja,165.1,56.699,170.18,Orthodox,"Apr 16, 1990",1990.0
Alexandru Lungu,182.88,174.63291999999998,,Orthodox,"Sep 03, 1974",1974.0
Alexis Davis,167.64000000000001,56.699,172.72,Orthodox,"Oct 04, 1984",1984.0
Alexis Dufresne,175.26,61.23492,172.72,Orthodox,"Aug 31, 1990",1990.0
Alfonso Alcarez,160.02,65.77083999999999,,,"Jun 10, 1970",1970.0
Alfred Khashakyan,172.72,61.23492,177.8,Orthodox,"Jul 17, 1988",1988.0
Ali Bagautinov,162.56,56.699,165.1,Orthodox,"Jun 10, 1985",1985.0
Aliev Makhmud,167.64000000000001,88.45044,,Southpaw,"Feb 13, 1970",1970.0
Alistair Overeem,193.04,120.20188,203.2,Orthodox,"May 17, 1980",1980.0
Aljamain Sterling,170.18,61.23492,180.34,Orthodox,"Jul 31, 1989",1989.0
Allan Goes,182.88,92.98636,,Orthodox,"Apr 20, 1971",1971.0
Allan Nascimento,175.26,56.699,,Orthodox,"Sep 11, 1991",1991.0
Allan Zuniga,170.18,70.30676,177.8,Orthodox,"Apr 04, 1992",1992.0
Allen Berube,172.72,70.30676,,Orthodox,"Aug 25, 1974",1974.0
Allen Crowder,190.5,111.13004,193.04,Orthodox,"Nov 08, 1989",1989.0
Alonzo Martinez,177.8,70.30676,,,"Apr 22, 1984",1984.0
Alonzo Menifield,182.88,92.98636,193.04,Orthodox,"Oct 18, 1987",1987.0
Alptekin Ozkilic,165.1,56.699,165.1,Orthodox,"Mar 27, 1986",1986.0
Alton Cunningham,187.96,92.98636,195.58,Orthodox,"Jun 24, 1993",1993.0
Alton Meeks,195.57999999999998,120.20188,190.5,Orthodox,"Apr 05, 1994",1994.0
Alvaro Herrera,182.88,70.30676,187.96,,"May 14, 1990",1990.0
Alvin Cacdac,167.64000000000001,56.699,,Orthodox,,
Alvin Robinson,175.26,70.30676,172.72,Southpaw,"Jul 16, 1982",1982.0
Amador Ramirez,,61.23492,,,"Jun 14, 1990",1990.0
Amanda Cooper,160.02,52.16308,162.56,Switch,"Oct 22, 1991",1991.0
Amanda Lemos,162.56,61.23492,165.1,Southpaw,"May 22, 1987",1987.0
Amanda Nunes,172.72,65.77083999999999,175.26,Orthodox,"May 30, 1988",1988.0
Amanda Ribas,162.56,52.16308,,,"Aug 26, 1993",1993.0
Amar Suloev,175.26,83.007336,,Orthodox,"Jul 01, 1976",1976.0
Amaury Bitetti,175.26,83.91452,,Orthodox,,
Amber Tackett,,52.16308,,,,
Amilcar Alves,182.88,77.11064,,Southpaw,"Aug 08, 1988",1988.0
Amir Aliakbari,190.5,113.398,,,"Jun 10, 1984",1984.0
Amir Rahnavardi,182.88,92.98636,,Orthodox,"Dec 07, 1974",1974.0
Amir Sadollah,177.8,77.11064,187.96,Orthodox,"Aug 27, 1980",1980.0
An Ying Wang,182.88,77.11064,,Orthodox,"Apr 04, 1991",1991.0
Anatoly Tokov,177.8,83.91452,,,"Feb 17, 1990",1990.0
Anderson Dos Santos,165.1,61.23492,177.8,Orthodox,"Jul 24, 1985",1985.0
Anderson Silva,187.96,83.91452,195.58,Southpaw,"Apr 14, 1975",1975.0
Andre Amado,182.88,69.853168,,Orthodox,,
Andre Ewell,172.72,61.23492,190.5,Southpaw,"Jan 21, 1988",1988.0
Andre Fili,180.34,65.77083999999999,187.96,Orthodox,"Jun 25, 1990",1990.0
Andre Galvao,170.18,76.203456,,Orthodox,"Sep 29, 1982",1982.0
Andre Gusmao,182.88,92.98636,,Orthodox,"May 19, 1977",1977.0
Andre Muniz,187.96,83.91452,,Southpaw,"Feb 17, 1990",1990.0
Andre Mussi,190.5,109.76926399999999,,Orthodox,,
Andre Pederneiras,172.72,70.30676,,Orthodox,"Mar 22, 1967",1967.0
Andre Roberts,187.96,156.48924,,Orthodox,"Feb 24, 1965",1965.0
Andre Santos,182.88,77.11064,,,,
Andre Soukhamthath,175.26,61.23492,177.8,Orthodox,"Oct 23, 1988",1988.0
Andre Walker,180.34,92.98636,,Southpaw,,
Andre Winner,180.34,70.30676,185.42000000000002,Orthodox,"Nov 09, 1981",1981.0
Andrea Lee,167.64000000000001,56.699,175.26,Orthodox,"Feb 11, 1989",1989.0
Andreas Spang,185.42,83.91452,,,"Nov 07, 1978",1978.0
Andreas Stahl,180.34,77.11064,185.42000000000002,Orthodox,"May 20, 1988",1988.0
Andrei Arlovski,190.5,108.86207999999999,195.58,Orthodox,"Feb 04, 1979",1979.0
Andrei Kopylov,187.96,120.20188,,Orthodox,"Jul 16, 1965",1965.0
Andrei Semenov,182.88,83.91452,,Orthodox,"Jun 17, 1977",1977.0
Andrew Craig,185.42,77.11064,193.04,Orthodox,"Jan 15, 1986",1986.0
Andrew Holbrook,180.34,70.30676,177.8,Southpaw,"Feb 06, 1986",1986.0
Andrew Montanez,,83.91452,,,,
Andrew Ramm,185.42,72.57472,,,,
Andrew Sanchez,185.42,83.91452,187.96,Orthodox,"Apr 08, 1988",1988.0
Andrew Todhunter,182.88,83.91452,182.88,Switch,"Nov 30, 1987",1987.0
Andrew Valladerez,,61.23492,,,,
Andrews Nakahara,185.42,83.91452,,Orthodox,"Mar 12, 1983",1983.0
Andrey Koreshkov,182.88,77.11064,,,"Aug 23, 1990",1990.0
Andy Anderson,167.64000000000001,108.86207999999999,,,"Jul 16, 1974",1974.0
Andy Enz,190.5,83.91452,198.12,Orthodox,"Aug 15, 1991",1991.0
Andy Murad,175.26,83.91452,,,,
Andy Ogle,172.72,65.77083999999999,175.26,Orthodox,"Feb 16, 1989",1989.0
Andy Ologun,182.88,69.853168,,Orthodox,"Jun 12, 1983",1983.0
Andy Uhrich,182.88,77.11064,,,,
Andy Wang,167.64000000000001,70.30676,,Orthodox,"May 28, 1977",1977.0
Andy Waters,182.88,77.11064,,,,
Angel De Anda,175.26,102.0582,,Orthodox,"May 28, 1985",1985.0
Angela Hill,160.02,52.16308,162.56,Orthodox,"Jan 12, 1985",1985.0
Angela Magana,154.94,52.16308,165.1,,"Aug 02, 1983",1983.0
Angelo Antonio,,92.98636,,Orthodox,,
Angelo Trevino,180.34,77.11064,,Switch,"Jun 10, 1993",1993.0
Anistavio Medeiros,167.64000000000001,65.77083999999999,,Orthodox,"May 01, 1988",1988.0
Anna Elmose,160.02,52.16308,165.1,Orthodox,"Oct 06, 1984",1984.0
Ansar Chalangov,175.26,77.11064,,Orthodox,"Oct 30, 1979",1979.0
Anthony Adams,182.88,83.91452,195.58,Orthodox,"Jan 13, 1988",1988.0
Anthony Alves,,,,,,
Anthony Avila,170.18,65.77083999999999,,,"Dec 29, 1988",1988.0
Anthony Birchak,172.72,61.23492,175.26,Orthodox,"May 16, 1986",1986.0
Anthony Christodoulou,175.26,70.30676,182.88,Orthodox,"Jul 30, 1987",1987.0
Anthony Do,162.56,56.699,,,,
Anthony Figueroa,162.56,61.23492,,Orthodox,,
Anthony Hamilton,195.57999999999998,117.93392,193.04,Orthodox,"Apr 14, 1980",1980.0
Anthony Hernandez,182.88,83.91452,190.5,Orthodox,"Oct 18, 1993",1993.0
Anthony Johnson,187.96,92.98636,198.12,Orthodox,"Mar 06, 1984",1984.0
Anthony Lapsley,175.26,77.11064,180.34,Southpaw,"Feb 13, 1980",1980.0
Anthony Leone,167.64000000000001,61.23492,,Orthodox,"May 27, 1987",1987.0
Anthony Macias,175.26,83.91452,,Switch,,
Anthony Morrison,170.18,65.77083999999999,,Orthodox,"Mar 29, 1984",1984.0
Anthony Njokuani,185.42,70.30676,190.5,Orthodox,"Mar 01, 1980",1980.0
Anthony Perosh,190.5,92.98636,190.5,Orthodox,"Oct 05, 1972",1972.0
Anthony Pettis,177.8,77.11064,182.88,Orthodox,"Jan 27, 1987",1987.0
Anthony Rocco Martin,182.88,77.11064,185.42000000000002,Orthodox,"Dec 11, 1989",1989.0
Anthony Ruiz,187.96,92.98636,,Orthodox,"Nov 03, 1977",1977.0
Anthony Smith,193.04,92.98636,193.04,Orthodox,"Jul 26, 1988",1988.0
Anthony Taylor,170.18,65.77083999999999,,,,
Anthony Torres,172.72,77.11064,,Orthodox,"Jul 31, 1978",1978.0
Anton Berzin,187.96,92.98636,,Orthodox,"Sep 29, 1989",1989.0
Anton Kuivanen,172.72,70.30676,182.88,Orthodox,"May 01, 1984",1984.0
Anton Zafir,180.34,77.11064,182.88,Orthodox,"May 10, 1987",1987.0
Antoni Hardonk,193.04,111.13004,198.12,Orthodox,"Feb 05, 1976",1976.0
Antonina Shevchenko,172.72,56.699,170.18,Southpaw,"Nov 20, 1984",1984.0
Antonio Arroyo,182.88,83.91452,,Orthodox,"Jul 01, 1989",1989.0
Antonio Banuelos,165.1,61.23492,160.02,Orthodox,"Sep 23, 1979",1979.0
Antonio Braga Neto,190.5,83.91452,195.58,Orthodox,"Oct 29, 1987",1987.0
Antonio Carlos Junior,187.96,83.91452,200.66,Orthodox,"Mar 16, 1990",1990.0
Antonio Carvalho,175.26,65.77083999999999,172.72,Orthodox,"May 30, 1979",1979.0
Antonio Dos Santos,177.8,83.91452,182.88,Orthodox,"Jul 21, 1988",1988.0
Antonio Duarte,170.18,61.23492,,,,
Antonio Jones,180.34,83.91452,,Orthodox,"Apr 12, 1985",1985.0
Antonio McKee,172.72,70.30676,,Southpaw,"Mar 12, 1970",1970.0
Antonio Mendes,190.5,92.98636,195.58,Southpaw,"Apr 19, 1981",1981.0
Antonio Schembri,175.26,92.98636,,Orthodox,"Jun 01, 1974",1974.0
Antonio Silva,193.04,119.748288,203.2,Orthodox,"Sep 14, 1979",1979.0
Antonio Trocoli,195.57999999999998,92.98636,,,"Dec 06, 1990",1990.0
Antony Rea,182.88,92.98636,,Orthodox,"Jul 15, 1976",1976.0
Antwain Britt,185.42,92.98636,195.58,,"May 09, 1978",1978.0
Ariane Lipski,160.02,56.699,170.18,Orthodox,"Jan 26, 1994",1994.0
Ariel Beck,167.64000000000001,56.699,167.64000000000001,,"Sep 16, 1990",1990.0
Ariel Gandulla,180.34,92.98636,,Orthodox,"May 07, 1968",1968.0
Arjan Bhullar,185.42,111.13004,190.5,Orthodox,"May 13, 1986",1986.0
Arlene Blencowe,165.1,65.77083999999999,,,"Apr 11, 1983",1983.0
Arman Tsarukyan,170.18,70.30676,182.88,Orthodox,"Oct 11, 1996",1996.0
Armando Villarreal,170.18,65.77083999999999,,,"Aug 08, 1989",1989.0
Arnold Allen,172.72,65.77083999999999,177.8,Southpaw,"Jan 22, 1994",1994.0
Art Arciniega,172.72,65.77083999999999,,,"Oct 15, 1981",1981.0
Art Jimmerson,185.42,88.904032,,Orthodox,"Aug 04, 1963",1963.0
Art Santore,187.96,83.91452,,,"Oct 26, 1972",1972.0
Artem Frolov,177.8,83.91452,,,"Sep 07, 1991",1991.0
Artem Lobov,175.26,65.77083999999999,165.1,Southpaw,"Aug 11, 1986",1986.0
Artenus Young,,92.98636,,,"Jul 16, 1980",1980.0
Artur Oumakhanov,170.18,69.853168,,Orthodox,"Feb 27, 1979",1979.0
Asbel Cancio,177.8,102.0582,,,,
Ashe Bowman,175.26,70.30676,,,"Nov 17, 1976",1976.0
Ashkan Mokhtarian,167.64000000000001,56.699,170.18,Southpaw,"Sep 15, 1985",1985.0
Ashlee Evans-Smith,172.72,56.699,170.18,Orthodox,"Jul 09, 1987",1987.0
Ashley Yoder,170.18,52.16308,175.26,Southpaw,"Oct 20, 1987",1987.0
Aspen Ladd,167.64000000000001,61.23492,167.64000000000001,Orthodox,"Mar 01, 1995",1995.0
Assuerio Silva,177.8,109.31567199999999,,Orthodox,"Jun 18, 1974",1974.0
Atsushi Yamamoto,167.64000000000001,63.049288,,Orthodox,"Oct 02, 1980",1980.0
Augusto Mendes,167.64000000000001,61.23492,165.1,Orthodox,"Mar 03, 1983",1983.0
Augusto Montano,185.42,77.11064,185.42000000000002,Orthodox,"Oct 25, 1984",1984.0
Augusto Sakai,190.5,120.20188,195.58,Orthodox,"May 09, 1991",1991.0
Aurelijus Kerpe,,,,Orthodox,,
Austen Lane,198.12,111.13004,203.2,Orthodox,"Nov 09, 1987",1987.0
Austin Arnett,182.88,65.77083999999999,182.88,Orthodox,"Oct 22, 1991",1991.0
Austin Hubbard,177.8,70.30676,180.34,Orthodox,"Dec 22, 1991",1991.0
Austin Springer,172.72,65.77083999999999,180.34,Orthodox,"May 12, 1987",1987.0
Austin Tweedy,175.26,70.30676,172.72,Orthodox,"Sep 25, 1990",1990.0
Austin Vanderford,180.34,77.11064,187.96,Orthodox,"Mar 21, 1990",1990.0
Azamat Gashimov,167.64000000000001,56.699,167.64000000000001,Orthodox,"Apr 07, 1990",1990.0
Azamat Murzakanov,180.34,92.98636,,,,
BJ Penn,175.26,70.30676,177.8,Orthodox,"Dec 13, 1978",1978.0
Bao Quach,160.02,65.77083999999999,,Orthodox,"Sep 04, 1979",1979.0
Barb Honchak,162.56,56.699,165.1,,"Aug 30, 1979",1979.0
Bart Palaszewski,175.26,65.77083999999999,177.8,Orthodox,"May 30, 1983",1983.0
Bartosz Fabinski,182.88,77.11064,190.5,Orthodox,"Apr 26, 1986",1986.0
Baru Harn,,120.20188,,,,
Bas Rutten,185.42,92.98636,,Orthodox,"Feb 24, 1965",1965.0
Bazigit Atajev,185.42,104.32616,,Orthodox,,
Bea Malecki,175.26,61.23492,187.96,Orthodox,"Aug 23, 1991",1991.0
Bec Rawlings,167.64000000000001,56.699,162.56,Orthodox,"Feb 11, 1989",1989.0
Belal Muhammad,180.34,77.11064,182.88,Orthodox,"Jul 09, 1988",1988.0
Ben Askren,180.34,77.11064,185.42000000000002,Orthodox,"Jul 18, 1984",1984.0
Ben Earwood,172.72,77.11064,,Orthodox,,
Ben Holscher,180.34,70.30676,,,,
Ben Jones,,83.91452,,,,
Ben Lagman,187.96,83.91452,,,"Sep 04, 1986",1986.0
Ben Nguyen,165.1,56.699,165.1,Switch,"Aug 03, 1988",1988.0
Ben Reiter,190.5,83.91452,,,"Jun 27, 1987",1987.0
Ben Rothwell,193.04,120.20188,198.12,Orthodox,"Oct 17, 1981",1981.0
Ben Saunders,187.96,77.11064,195.58,Orthodox,"Apr 13, 1983",1983.0
Ben Wall,177.8,70.30676,185.42000000000002,Orthodox,"Mar 25, 1989",1989.0
Bendy Casimir,165.1,65.77083999999999,,Southpaw,"Jun 10, 1980",1980.0
Beneil Dariush,177.8,70.30676,182.88,Southpaw,"May 06, 1989",1989.0
Benito Lopez,177.8,61.23492,185.42000000000002,Switch,"Apr 06, 1994",1994.0
Benji Radach,177.8,83.91452,,Orthodox,"Apr 05, 1979",1979.0
Benny Alloway,180.34,77.11064,190.5,Orthodox,"Feb 19, 1981",1981.0
Benson Henderson,175.26,77.11064,177.8,Southpaw,"Nov 16, 1983",1983.0
Bentley Syler,162.56,56.699,172.72,Orthodox,"Dec 22, 1982",1982.0
Bernardo Magalhaes,175.26,70.30676,165.1,Orthodox,"Apr 08, 1981",1981.0
Bertrand Amoussou,172.72,86.18248,,Orthodox,,
Besam Yousef,180.34,77.11064,180.34,Orthodox,"Mar 25, 1985",1985.0
Bethe Correia,165.1,61.23492,162.56,Orthodox,"Jun 22, 1983",1983.0
Bevon Lewis,190.5,83.91452,200.66,Orthodox,"May 05, 1991",1991.0
Bharat Kandare,170.18,61.23492,182.88,Orthodox,"Jun 20, 1987",1987.0
Bibiano Fernandes,170.18,63.049288,,Orthodox,"Mar 30, 1980",1980.0
Bill Algeo,182.88,65.77083999999999,185.42000000000002,Switch,"Jun 09, 1989",1989.0
Bill Cooper,,70.30676,,,"May 05, 1984",1984.0
Bill Duvall,187.96,83.91452,,Southpaw,,
Bill Mahood,190.5,90.7184,,Orthodox,"Feb 01, 1967",1967.0
Billy Evangelista,172.72,70.30676,172.72,Orthodox,"Oct 07, 1980",1980.0
Billy Giovanella,172.72,56.699,,,"Aug 20, 1985",1985.0
Billy Miles,177.8,77.11064,,Orthodox,"Apr 28, 1978",1978.0
Billy Quarantillo,177.8,70.30676,,,,
Billy Vaughan,167.64000000000001,70.30676,,,"Dec 02, 1983",1983.0
Blagoy Ivanov,180.34,113.398,185.42000000000002,Southpaw,"Oct 09, 1986",1986.0
Blair Tugman,182.88,61.23492,,,,
Blake Bowman,187.96,77.11064,,,,
Blake Watkins,,83.91452,,,,
Blas Avena,182.88,77.11064,187.96,Orthodox,"Jun 30, 1983",1983.0
Bo Cantrell,187.96,106.59412,,Orthodox,"Feb 08, 1969",1969.0
Bob Cook,175.26,77.11064,,Orthodox,,
Bob Gilstrap,190.5,90.7184,,Orthodox,,
Bob Sapp,195.57999999999998,158.7572,,Orthodox,"Sep 22, 1974",1974.0
Bob Schrijber,182.88,108.86207999999999,,Orthodox,,
Bobby Cooper,185.42,70.30676,,,,
Bobby Escalante,,58.96696,,,,
Bobby Flynn,,77.11064,,,,
Bobby Green,177.8,70.30676,180.34,Orthodox,"Sep 09, 1986",1986.0
Bobby Hoffman,187.96,111.13004,,Orthodox,"Oct 28, 1968",1968.0
Bobby Lashley,190.5,115.66596,198.12,Orthodox,"Jul 16, 1976",1976.0
Bobby McAndrews,,,,Orthodox,,
Bobby Moffett,177.8,65.77083999999999,187.96,Orthodox,"Jun 01, 1990",1990.0
Bobby Nash,182.88,77.11064,187.96,Orthodox,"Mar 26, 1990",1990.0
Bobby Sanchez,170.18,70.30676,,Orthodox,,
Bobby Southworth,187.96,92.98636,,Orthodox,"Dec 16, 1969",1969.0
Bobby Stack,175.26,70.30676,,Orthodox,,
Bobby Voelker,182.88,77.11064,190.5,Orthodox,"Apr 26, 1979",1979.0
Bojan Mihajlovic,180.34,92.98636,185.42000000000002,Orthodox,"Mar 30, 1980",1980.0
